Season,Episode,Dialog
3.5,Episode 5,mmm yeah give 1 800
3.5,Episode 5,gracious
3.5,Episode 5,right let look
3.5,Episode 5,nice little bit got innit
3.5,Episode 5,asking though asking
3.5,Episode 5,right come business offer professional services
3.5,Episode 5,keep interrupting able focus
3.5,Episode 5,understand
3.5,Episode 5,tsar nicholas gave give four
3.5,Episode 5,done
3.5,Episode 5,right rumplestiltskin let go look boxes
3.5,Episode 5,two
3.5,Episode 5,much nicer 10
3.5,Episode 5,definitely five
3.5,Episode 5,keeping score
3.5,Episode 5,yeah another five
3.5,Episode 5,six
3.5,Episode 5,beauty look
3.5,Episode 5,splendid
3.5,Episode 5,beautiful
3.5,Episode 5,work art
3.5,Episode 5,recognise work
3.5,Episode 5,guessing right bad ideas around
3.5,Episode 5,right hmm
3.5,Episode 5,yeah er tommy see right
3.5,Episode 5,got paste paste
3.5,Episode 5,let tell something son
3.5,Episode 5,somebody comes shop paste like
3.5,Episode 5,usually make right
3.5,Episode 5,fucking swallow
3.5,Episode 5,eh game playing
3.5,Episode 5,yeah
3.5,Episode 5,yeah right got
3.5,Episode 5,oh well
3.5,Episode 5,eggs excuse
3.5,Episode 5,simply asking
3.5,Episode 5,deal breaker tommy
3.5,Episode 5,oh
3.5,Episode 5,fucking hell
3.5,Episode 5,provenance laid delicate beauty
3.5,Episode 5,indeed bring us entire selection 70 000
3.6,Episode 6,yeah well alone never gonna
3.6,Episode 6,cane worry
3.6,Episode 6,sciatica
3.6,Episode 6,always plays around winter summer solstice
3.6,Episode 6,bring
3.6,Episode 6,well seeing prepared pay exorbitant amount information decided give value money
3.6,Episode 6,names men england would approach right fabergé egg sale
3.6,Episode 6,go
3.6,Episode 6,men list know would buy old fabergé egg even knew item stolen
3.6,Episode 6,comes curious fucking gyppo question
3.6,Episode 6,ask erm
3.6,Episode 6,list men would buy fabergé wife obsession
3.6,Episode 6,ah yes thank mr shelby lovely business
3.6,Episode 6,yeah well knew already come dragged way fucking oggin mate
3.6,Episode 6,listen sweetie take man
3.6,Episode 6,tommy tommy things treasury right god spoke said alfie meant things
3.6,Episode 6,fucking
3.6,Episode 6,line
3.6,Episode 6,yeah knew know
3.6,Episode 6,damned made fucking difference mate
3.6,Episode 6,fucking hell tommy
3.6,Episode 6,oh crying loud
3.6,Episode 6,fuck going
3.6,Episode 6,matter tommy eh
3.6,Episode 6,eh gone fucking angry
3.6,Episode 6,fucking head man
3.6,Episode 6,fucking head son
3.6,Episode 6,worry truce kid right fell apart
3.6,Episode 6,got nothing worry comes ol scary london boys
3.6,Episode 6,give fuck right kid right
3.6,Episode 6,want spare fucking peace pact
3.6,Episode 6,want acknowledge anger un fucking justified
3.6,Episode 6,want acknowledge fights sword fucking dies tommy
3.6,Episode 6,took boy eh
3.6,Episode 6,got boy
3.6,Episode 6,fucking line supposed crossed
3.6,Episode 6,many fathers right many sons yeah cut killed rder fucking butchered innocent guilty
3.6,Episode 6,going straight fucking hell ya
3.6,Episode 6,like
3.6,Episode 6,fucking stand judging stand talk crossing fucking line
3.6,Episode 6,pull trigger right pull trigger fucking honourable reason
3.6,Episode 6,like honourable man like fucking civilian understand wicked way world mate
3.6,Episode 6,know boy though
4.4,Dangerous,right
4.4,Dangerous,fucking hell smells pig round
4.4,Dangerous,definitely kosher
4.4,Dangerous,come small heath go hell fucking breathing
4.4,Dangerous,everybody
4.4,Dangerous,stretch legs treacle
4.4,Dangerous,fuck looks like grown since left london
4.4,Dangerous,like mushroom grows dark
4.4,Dangerous,ya
4.4,Dangerous,yeah well place shit hole
4.4,Dangerous,yeah knock
4.4,Dangerous,everyone
4.4,Dangerous,ishmael please hit call prayer
4.4,Dangerous,well hit
4.4,Dangerous,thank thank
4.4,Dangerous,yeah
4.4,Dangerous,come everybody fucking bed
4.4,Dangerous,assume david bed
4.4,Dangerous,oh right problem right rum gin gin right leads melancholy whereas rum incites v olence
4.4,Dangerous,know also allows liberated self doubt
4.4,Dangerous,hear probably need old rum moment rather gin mate hmm
4.4,Dangerous,oh dear tommy got fucking starlings mate
4.4,Dangerous,oh yeah shit rot pipework
4.4,Dangerous,bastards understand one language
4.4,Dangerous,hear got italians mate
4.4,Dangerous,got kestrel
4.4,Dangerous,hmm
4.4,Dangerous,well everything confirmed innit
4.4,Dangerous,yeah weakness behind eyes blink much right
4.4,Dangerous,smell smoke coal horses hmm
4.4,Dangerous,back belong tommy
4.4,Dangerous,right well got ask seriously though know even want piss shit indoors
4.4,Dangerous,actually born defecate fields outhouses
4.4,Dangerous,serious issue though tommy cause people class religion quite similar actually cannot wash right
4.4,Dangerous,come mother tits
4.4,Dangerous,hmm
4.4,Dangerous,americans want sweeter
4.4,Dangerous,heard copper got shot shot
4.4,Dangerous,right oh stakes good
4.4,Dangerous,still using sabini vehicles places stay
4.4,Dangerous,ah know sicilians
4.4,Dangerous,trust nobody fucked goat morning first pubic hair got traditions
4.4,Dangerous,eleven
4.4,Dangerous,enough drop man wrapped balls obe till fell
4.4,Dangerous,fucking hell
4.4,Dangerous,kind world bring children mate ask question eh
4.4,Dangerous,truth tommy going fucking dead soon yeah
4.4,Dangerous,starlings right peck blue eyes
4.4,Dangerous,jackdaws steal gold medals pretty soon never even fucking happened mate
4.4,Dangerous,kestrel
4.4,Dangerous,tommy pikey walks hair like gotta ask made mistake
4.4,Dangerous,fuck
4.4,Dangerous,friend uncle protector promoter fucking thing right whose shadow nothing good godly ever fucking grow
4.4,Dangerous,right southern counties welterweight champion
4.4,Dangerous,mixed religion therefore godless adopted satan returned fear awkwardness
4.4,Dangerous,impossible marry due lethal dimensions mother terrified fucking abandoned
4.4,Dangerous,stood like first brand new fucking species
4.4,Dangerous,man put right like entering fucking threshing machine mate
4.4,Dangerous,offer son
4.5,The Duel,mmm
4.5,The Duel,little cousin born blind
4.5,The Duel,result donate considerable sum money charity gives dogs eyes blind jews
